										
#	Lvl	火系魔法	Res	简称	法术描述	普通	专家级	大师级	大宗师级	Stats
26	4	冰锥术	Water	冰锥术	对单一的目标发射冰锥，一定会击中目标。施术者每个等级的水系魔法技能可以增加1-4点的伤害力。	缓慢的恢复速度。	更快的恢复时间。	更快的恢复时间。	最快的恢复时间。	PMEC
27	5	水上飞	none	水上飞	只在室外产生作用。让您的队伍可以在水面上行走，不至于下沉。队伍每和水接触二十分钟，就会消耗额外的一点法力点数。	无	每点法术等级可以持续十分钟。	每点法术等级可以持续一个小时。	不会持续消耗法力点数。	P
28	6	物品充能	Water	物品充能	可以补充任何会消耗能量的魔法物品。每当这个法术施展的时候，该物品的最高装填数会降低50%，水系法术每一个技能等级可以扣减掉1%的降低值。	无	最高装填数会降低50%，每个技能等级可以扣捡掉1%的降低值。	最高装填数会降低30%，每个技能等级可以扣捡掉1%的降低值。	最高装填数会降低20%，每个技能等级可以扣捡掉1%的降低值。	PE
29	7	酸暴	none	酸暴	对单一目标发射大量的强酸。它一定会击中目标，伤害力是九点，每个水系法术的等级加上额外的1-9点伤害力。	无	中等的恢复时间。	更快的恢复时间。	最快的恢复时间。	PMC
30	8	物品附魔	Water	物品附魔	让普通的物品附上魔法。成功的机会是每个水系法术等级乘以10%。魔法的威力中等，不能够施展在任务所需的物品上。大宗师等级的法师可以施展更强而有力的附着魔法。	无	无	中等的法力强度。	强力的法力强度。	P
31	9	城镇传送	none	城镇传送	把整个队伍传送到他们所拜访过的城镇。成功的机率是施术者的水系魔法等级乘以10%。当有敌意的生物在附近的时候，这个法术无法施展。	无	无	在附近有有敌意的生物时不管用。	即使附近有有敌意的生物，也是照样可以使用。	P
32	10	冰爆	Water	冰爆	对着施术者所面对的方向发射冰球。当它命中任何物体时就会破碎，并且对着除了施术者所在的方位之外发射七枚碎冰。这些碎冰会不断的往前进，直到他们溶解或是击中目标为止。每枚碎冰会造成12点的伤害，施术者的水系法术技能将会造成额外的1-3点伤害。	无	无	中等的恢复速度，七片碎片。	较快的恢复速度，九片碎片。	PMEC
33	11	洛伊德的信标	none	洛伊德	让您可以在想要传送回去的目标附近置放一个信标。施展这个法术可以设置一个信标或是传送到之前所设下的信标。你一次最多可以设置五个信标。施术者的水系法术等级每一等级可以让信标持续一周。	无	无	无	这个法术的效果这样就已经是最强了！	P
	Lvl	地系法术	Res		法术描述					
34	1	震撼	Earth	震撼	对目标物发出一次没有任何伤害力的攻击，不过却会让对方退后，并且需要花时间恢复行动力。除了让你有机会攻击之外，也有机会让你逃跑。地系法术的技能越高，法术的效果也越好。	普通效果。	效果更强。	效果更强。	效果最强。	PC
35	2	缓慢术	Earth	缓慢	会将移动的速度减半，并且将恢复所需的时间变成两倍。缓慢术让怪物攻击的速度变成一半，如果你选择要逃跑，被追上的机率也会变小。这个法术的持续时间是每个等级的地系法术一分钟。	普通效果。	持续力是每个法力等级五分钟。	怪物速度变成四分之一。	怪物速度变成八分之一。	PC
36	3	抗地术	none	抗地术	施术者的地系法术等级每一点可以增加目标对象对于地系法术一点的抵抗力，每一点的地系法术技能可以增加法术一个小时的持续时间。	每点技能点数可以增加一点的抵抗力。	每点技能点数可以增加二点的抵抗力。	每点技能点数可以增加三点的抵抗力。	每点技能点数可以增加四点的抵抗力。	P
37	4	致命虫群	Earth	致命虫群	召唤来一群昆虫，会对单一的目标又叮又咬。伤害力为五点，施术者的每个等级的地系法术技能可以增加额外的1-3点伤害，而且永远不会打不中。	中等的恢复时间。	更快的恢复时间。	更快的恢复时间。	最快的恢复时间。	PC
38	5	石肤术	none	石肤术	增加目标物五点的防御等级，施术者每个等级的地系法术技能可以增加一点的防御等级。	无	持久力是一个小时，每个技能等级可以增加额外的五分钟。	持久力是一个小时，每个技能等级可以增加额外的十五分钟。	持久力是一个小时，每个技能等级可以增加额外的一个小时。	PM
39	6	刀锋	Earth	刀锋	对准目标物发射一枚旋转的金属刀锋。伤害力是地系法术的每个等级1-9点。	无	中等的恢复速度	较快的恢复速度。	最快的恢复时间。	PC
40	7	生肌长肉	none	生肌长肉	如果某个人物被石化了，及时施展这个法术，将可以把他们恢复过来。施术者的地系法术技能越高，该人之前可以陷入越久的石化状态中。在那之后，除了神圣干预法术之外，唯一移除这个状态的方法就是去拜访神殿了。	无	如果石化的时间不超过每点法术技能一小时的时间，就可以产生作用。	如果石化的时间不超过每点法术技能一天的时间，就可以产生作用。	没有时间限制。	P
41	8	岩爆术	Earth	岩爆术	施放一个魔法的岩石进入这个世界，让它四处弹跳和滚动。当它击中生物或是停下来的时候，就会自动爆炸，所以请千万小心，不要被卷入爆炸范围中。每个地系法术等级能够造成1-8点的伤害。	无	无	中等的恢复时间。	更快的恢复时间。	PMC
42	9	念动术	none	念动术	念动术让你可以控制一段距离之外的物品。譬如说你可以开关门、拿取物品、打开宝箱等等。而这些都是在远离陷阱的安全距离作到的。	无	无	无	更快的恢复时间。	P
43	10	死亡之花	Earth	死亡之花	对空中发射一颗岩石，让它爆炸成碎片。伤害力是二十点，施术者的地系法术技能每点可以增加额外的一点伤害力。只能够在室外施展。	无	无	中等的恢复时间。	最快的恢复速度，每点技能的效果双倍。	PC
44	11	质量干扰	Earth	质量干扰	大幅的增加目标的质量，对它的体内结构造成重大的伤害。伤害力是怪物的生命力的25%，地系法术技能每一点可以增加2%的伤害力。他们的体积越大，所受到的伤害也越大。	无	无	无	这个法术的效果这样就已经是最强了！	PMC
	Lvl	魂系法术	Res		法术描述					
45	1	侦测生命	none	侦测生命	让队伍可以看见目前敌人的确实生命点数。	每点法力等级可以持续十分钟。	每点法力等级可以持续三十分钟。	每点法力等级可以持续一个小时。	显示出对方的法术来。	P
46	2	祝福术	none	祝福术	增加目标人物以肉搏武器或是远程武器攻击对手的命中率。增加的机率是5，每个魂系法术技能等级可以额外增加1点。	法术的持久力是一个小时加上每个法力等级五分钟。	法力效果可以影响到整个队伍。	法术的持久力是一个小时加上每个法力等级十五分钟。	法术的持久力是一个小时加上每个法力等级一个小时。	PM
47	3	命运	Spirit	命运	如果施展在某个人物身上，他命中对方的机率就会增加。如果施展在一个敌人身上，他命中对方的机率就会降低。命中率的增减是20，施术者的魂系法术技能点数每一点可以增加额外的一点影响。有效时间是五分钟或是直到目标物攻击之后。	提升或是降低命中率为二十起跳，每个法力等级加一。	提升或是降低命中率为二十起跳，每个法力等级加二。	提升或是降低命中率为二十起跳，每个法力等级加四。	提升或是降低命中率为二十起跳，每个法力等级加六。	PM
48	4	超度不死生物	Spirit	超度	让目前可以看见的所有不死生物逃窜，有效时间是三分钟，施术者的每个魂系法术等级可以增加一分钟。	法术持久力是三分钟，每个法力等级可以增加一分钟。	法术持久力是三分钟，每个法力等级可以增加三分钟。	法术持久力是三分钟，每个法力等级可以增加五分钟。	最快的恢复时间。	PM
49	5	移除诅咒	none	移除诅咒	如果及时施展，将可以移除某个人物所受到的诅咒。施术者的心系法术技能越高，该人之前可以陷入越久的恐惧状态中。在那之后，除了神圣干预法术之外，唯一移除这个状态的方法就是去拜访神殿了。	无	如果诅咒的时间不超过每点法术技能一小时的时间，就可以产生作用。	如果诅咒的时间不超过每点法术技能一天的时间，就可以产生作用。	没有时间限制。	P
50	6	护身术	none	护身术	借着将某个角色的灵魂和肉体之间建立更强烈的连结，这个法术将可以提供对于立即死亡或是形神俱灭这类法术的保护，或者是怪物的类似攻击。这个法术同时也可以让人物不会因为大量的生命点数减少而死亡。该名人物将会自动陷入昏迷状态中。如果当法术的效果消失后，该名人物所受到的伤害依旧太重，那么他将会死亡。	无	法术的持久力是一个小时加上每个法术等级额外的五分钟。	对整个队伍都有效果。	法术的持久力是一个小时加上每个法术等级额外的十五分钟。	P
51	7	豪气术	none	豪气术	让队伍成员攻击对方时所造成的伤害增加五点，施术者的魂系法术等级每增加一点，就可以增加额外的一点伤害。这个法术的效果可以影响到所有的队员。	无	法术的持久力是一个小时加上每个法术等级额外的五分钟。	法术的持久力是一个小时加上每个法术等级额外的十五分钟。	法术的持久力是一个小时加上每个法术等级额外的一个小时。	PM
52	8	魂鞭	Spirit	魂鞭	这个法术可以借着削弱他的灵魂和躯体之间的连结来伤害对方。伤害力是十点，施术者的每个魂系法术等级可以造成2-8的伤害力。该名生物必需要十分靠近才能够让法术生效。如果当法术施展的时候，目标在射程之外，那么法术将会不耗费法力点数的自动失效。	无	无	中等的恢复时间。	更快的恢复时间。	PMC
53	9	死者复生	none	死者复生	如果及时施展这个法术，它可以让一个已经死去的人物复活。施术者的魂系法术技能越高，该人之前可以陷入越久的死亡状态中。在那之后，除了神圣干预法术之外，唯一移除这个状态的方法就是去拜访神殿了。刚被复活的人物将会比较虚弱。	无	无	如果死亡的时间不超过每点法术技能一天的时间，就可以产生作用。	没有时间限制。	P
54	10	生命分享	none	生命分享	把生命点数集合起来，再平分给队伍中的每个人。集合起来的生命点数等于所有队员的生命点数和，施术者的每个魂系法术的等级可以再增加额外的三点生命点数。最后这些生命点数会全部分配回去给每个人物，每个人物最多不可能获得超过最大值的生命点数。	无	无	每点法术等级可以增加额外的三点生命点数。	每点法术等级可以增加额外的四点生命点数。	P
55	11	复活大法	none	复活大法	在他的身体已经被摧毁之后，照旧让一个人复活。复活之后的人物将会比较虚弱。施术者需要很长的一段时间才能够恢复行动力。但是所需要的时间将会随着魂系法术技能的增加而缩短。	无	无	无	这个法术的效果这样就已经是最强了！	P
	Lvl	心系法术	Res		法术描述					
56	1	传心术	none	传心术	施术者可以阅读对方的心灵，并且找出它拥有什么物品和多少黄金。	缓慢的恢复速度。	更快的恢复时间。	更快的恢复时间。	最快的恢复速度。	P
57	2	移除恐惧	none	移除恐惧	如果及时施展，它可以移除目标生物的恐惧。施术者的心系法术技能越高，该人之前可以陷入越久的恐惧状态中。在那之后，除了神圣干预法术之外，唯一移除这个状态的方法就是去拜访神殿了。	如果恐惧的时间不超过每点法术技能三分钟的时间，就可以产生作用。	如果恐惧的时间不超过每点法术技能一个小时的时间，就可以产生作用。	如果恐惧的时间不超过每点法术技能一天的时间，就可以产生作用。	不管多少时间过去，都照样可以产生作用。	P
58	3	抗心术	none	抗心术	增加您的所有角色对于心系法术的抵抗力，施术者每一个等级的心系法术技能可以增加相当的抵抗力。有效时间是每个技能点数一个小时。	每点技能点数可以增加一点的抵抗力。	每点技能点数可以增加二点的抵抗力。	每点技能点数可以增加三点的抵抗力。	每点技能点数可以增加四点的抵抗力。	PC
59	4	心灵震爆	Mind	心灵震爆	对准单一目标发射心灵能源束，伤害力是三点，每一点的心系法术技能可以造成1-3点的伤害。	缓慢的恢复时间	更快的恢复时间。	更快的恢复时间。	最快的恢复时间。	PMC
60	5	魅惑术	Mind	魅惑术	移除目标生物对于队伍所有的敌意。如果该名生物受到任何伤害，这个法术就立刻失效。	无	法术的持久力是每个法术等级五分钟。	法术的持久力是每个法术等级十分钟。	法术效果会持续到整个队伍离开目标所在的地图为止。	P
61	6	治疗麻痹	Mind	治疗麻痹	如果及时施展，将可以治好目标生物所受到的麻痹效果。施术者的心系法术技能越高，该人之前可以陷入越久的麻痹状态中。在那之后，除了神圣干预法术之外，唯一移除这个状态的方法就是去拜访神殿了。	无	如果麻痹的时间不超过每点法术技能一个小时的时间，就可以产生作用。	如果麻痹的时间不超过每点法术技能一天的时间，就可以产生作用。	没有时间限制。	PC
62	7	狂暴术	Mind	狂暴术	让目标生物疯狂，充满了嗜血的冲动，会立刻对最靠近的生物展开攻击，直到法术效果消失为止。	无	持久力是每个法术等级五分钟。	持久力是每个法术等级十分钟。	持久力是每个法术等级一个小时。	PC
63	8	多人恐惧	Mind	多人恐惧	在法术有效的时间中，所有看的见的生物都会立即逃开。有效时间是三分钟，施术者的心系法术等级每一级可以增加额外的五分钟。无法对不死生物造成影响。如果在这段期间中那些生物受到攻击，法术的效果将会立刻解除。	无	无	法术持久力是三分钟加上每个法术等级五分钟的时间。	法术持久力是三分钟加上每个法术等级十五分钟的时间。	PC
64	9	治疗疯狂	none	治疗疯狂	如果及时施展，将可以去除目标生物的疯狂状态。施术者的心系法术技能越高，该人之前可以陷入越久的疯狂状态中。在那之后，除了神圣干预法术之外，唯一移除这个状态的方法就是去拜访神殿了。	无	无	如果疯狂的时间不超过每点法术技能一天的时间，就可以产生作用。	没有时间限制。	P
65	10	精神震撼	Mind	精神震撼	和心灵爆震类似，能够直接对目标生物的心灵做出强烈的攻击。伤害力是十二点，施术者的心系法术等级每一级可以增加1-12点的伤害力。	无	无	中等的恢复时间。	更快的恢复时间。	PMC
66	11	奴役术	Mind	奴役术	施术者可以控制住目标的心灵，有效时间则是每个等级的心系法术技能可以获得额外的十分钟。受到影响的生物将会和对队伍有敌意的生物作战。即使队伍对目标生物造成伤害，这个法术依旧不会失效。这个法术对于不死生物没有效。	无	无	无	这个法术的效果这样就已经是最强了！	P
	Lvl	体系法术	Res		法术描述					
67	1	治疗虚弱	none	治疗虚弱	如果及时施展，将可以移除目标生物的虚弱状态。施术者的体系法术技能越高，该人之前可以陷入越久的虚弱状态中。在那之后，除了神圣干预法术之外，唯一移除这个状态的方法就是去拜访神殿了。	如果虚弱的时间不超过每点法术技能三分钟的时间，就可以产生作用。	如果虚弱的时间不超过每点法术技能一小时的时间，就可以产生作用。	如果虚弱的时间不超过每点法术技能一天的时间，就可以产生作用。	不管多少时间过去，都照样可以产生作用。	P
68	2	治疗大法	none	治疗大法	恢复单一目标损失的生命点数。恢复的生命点数是五点，施术者的每一个体系法术的等级可以额外增加二点的生命点数。	可以医治好五点生命点数，每个法术技能等级可以增加两点。	可以医治好五点生命点数，每个法术技能等级可以增加四点。	可以医治好五点生命点数，每个法术技能等级可以增加四点。	可以医治好五点生命点数，每个法术技能等级可以增加五点。	P
69	3	抗体术	none	抗体术	可以增加所有人物对于体系法术的抵抗力，施术者每一点的技能点数可以换算成一点的抵抗力。有效时间是每一个技能点数换算成一个小时。	每点技能点数可以增加一点的抵抗力。	每点技能点数可以增加二点的抵抗力。	每点技能点数可以增加三点的抵抗力。	每点技能点数可以增加四点的抵抗力。	P
70	4	伤害	Body	伤害	直接对目标生物造成魔法伤害。伤害力是八点，施术者的体系法术技能每一个等级可以造成额外的1-2点的伤害。	中等的恢复时间。	更快的恢复时间。	更快的恢复时间。	最快的恢复速度。	PMEC
71	5	再生术	none	再生术	给单一目标缓慢恢复生命力的能力。在法术有效的时候，目标生物可以慢慢的恢复生命点数。	无	缓慢的恢复生命点数，持久力是每点的技能点数一个小时。	每分钟恢复生命点数的速度变得更快。	恢复生命点数的速度最快。	P
72	6	医治中毒	none	医治中毒	如果及时施展，目标生物中毒的状况可以被解除。施术者的体系法术技能越高，该人之前可以陷入越久的中毒状态中。在那之后，除了神圣干预法术之外，唯一移除这个状态的方法就是去拜访神殿了。	无	如果中毒的时间不超过每点法术技能一小时的时间，就可以产生作用。	如果中毒的时间不超过每点法术技能一天的时间，就可以产生作用。	没有时间限制。	P
73	7	重锤手	none	重锤手	增加徒手搏击战斗的能力。可以让目标生物的攻击更为精准的落在敌人的弱点上。这些攻击所造成的体系伤害力和该名人物的徒手搏击技能等级一样。	无	更快的恢复时间。	更快的恢复时间。	法术效果可以影响整个队伍。	PM
74	8	治疗疾病	none	治疗疾病	如果及时施展，目标生物染病的状况可以被解除。施术者的体系法术技能越高，该人之前可以陷入越久的染病状态中。在那之后，除了神圣干预法术之外，唯一移除这个状态的方法就是去拜访神殿了。	无	无	如果染病的时间不超过每点法术技能一天的时间，就可以产生作用。	没有时间限制。	P
75	9	魔法防护	none	魔法防护	让整个队伍都能够不受中毒、染病、石化、麻痹、虚弱的效果的影响。这个法术抵消上述效果的次数等于施术者的体系法术等级。每当这个法术抵销一次的效果，它就会减弱，超过这个次数之后，它就会完全的解除。	无	无	法术的持久力是每个法力等级一小时。	法术的效果也将死亡和形神俱灭的效果都纳入。	P
76	10	飞拳	Body	飞拳	对准单一目标发射强力的魔法能量。伤害力是三十点，施术者的体系魔法技能每一个等级可以增加额外的1-5点。	无	无	中等的恢复时间。	更快的恢复时间。	PMEC
77	11	强力治疗	none	强力治疗	可以立刻恢复所有队员失去的生命点数。可以恢复的生命点数是十点，施术者每个体系法术的等级可以额外恢复五点的生命点数。	无	无	无	这个法术的效果这样就已经是最强了！	PM
	Lvl	光明系魔法	Res		法术描述					
78	1	光箭	Light	光箭	对单一的目标发射光箭。施术者的每个光明系法术技能等级可以造成1-4点的伤害。对不死生物的伤害加倍。	中等的恢复时间。	更快的恢复时间。	更快的恢复时间。	最快的恢复时间。	PM
79	2	摧毁不死生物	Light	摧毁不死	召唤天界的力量来逆转那些操纵不死生物的魔力。施术者每个等级的光明系法术可以造成1-16点的伤害，只对不死生物有效。	中等的恢复时间。	更快的恢复时间。	更快的恢复时间。	最快的恢复时间。	P
80	3	解除魔法	none	解除魔法	移除队伍视线内所有生物身上的魔法效果。施术者恢复行动力的时间由施术者的光明系法术技能等级来扣减。	中等的恢复时间。	更快的恢复时间。	更快的恢复时间。	最快的恢复时间。	PM
81	6	麻痹	Light	麻痹	暂时让目标生物无法攻击或是移动。有效时间是施术者的每个光明系法术的技能等级乘以三分钟。你可以尽管大方的攻击对方，因为遭到麻痹的生物即使受到攻击，也无法挣脱麻痹状态。	中等的恢复时间。	更快的恢复时间。	更快的恢复时间。	最快的恢复时间。	PM
82	5	召唤光元素	none	召唤	召唤低阶的光之元素来为队伍作战，持续到元素死亡或是法术效力消失为止。法术的有效时间是施术者的光明系法术等级乘以五分钟。施术者一次只能拥有一只光元素。	无	法术技能的等级每一点可以延续五分钟。每次只能召唤一个光元素。	召唤一个普通的元素。持久力是每个技能点数持续十五分钟。最多可以召唤三个光元素。	可以召唤更强大的元素，最多可以召唤五个光元素。	PM
83	6	诸神之日	none	诸神之日	让您所有人物的属性增加十点，施术者的光明系法术的每个等级会额外再增加三点。单独法术的效果将会如同施术者的光明系法术技能乘以三的效果。效果会持续到你休息为止。	无	所有的法术施展效果都变成三倍。	所有的法术施展效果都是四倍。	所有的法术施展效果都是五倍。	P
84	7	光锥术	Light	光锥术	对视线内的生物都造成二十五点的伤害，施术者每一个等级的光明系法术技能可以额外造成1点的伤害。不能够在室外施展。	无	无	中等的法术恢复时间。	更快的恢复时间。	PC
85	8	防护之日	none	防护之日	对你所有的队员同时施展防护魔法、抗风、抗体、抗地、抗火、抗心、抗水的法术，以及羽落术和巫师之眼。法术的效果等于是施术者光明系法术技能的四倍。	无	无	所有的法术施展效果都是四倍。	所有的法术施展效果都是五倍。	PMEC
86	9	力量之时	none	力量之时	同时对你所有的队员施展快速术、护盾术、石肤术以及祝福术。法术的效力等同于施术者的光明系法术技能乘以四。	无	无	所有的法术施展效果都是四倍。	所有的法术施展效果都是五倍。	PMC
87	10	阳光术	Light	阳光术	阳光术是游戏中威力第二大的法术，它将太阳的光芒集中在目标生物身上。伤害力是二十点，施术者的每个等级的光明系法术技能可以额外增加1-20点的伤害力。只能够在室外和白天施展。恢复行动力的速度很慢。	无	无	缓慢的恢复速度。	中等的恢复时间。	PC
88	11	神圣干预	none	神圣干预	大宗师级：医好队伍所受到的所有伤害，恢复失去的法力点数，移除所有负面的状况。一天只能施展三次，而且，诸神会要求一个代价，施术者将会衰老十岁。光明系法术的技能等级越高，恢复的时间就越短。	无	无	无	这个法术的效果这样就已经是最强了！	P
	Lvl	黑暗系魔法	Res		法术描述					
89	1	行尸术	None	行尸术	利用一个死亡的生物创造出一具僵尸来。施术者的每等级黑暗系法术的技能够让僵尸拥有十点的生命点数，但最大不会超过它本来的生命点数最大值。这具僵尸将会继续的和队伍的敌人作战，直到它被再度打死或是队伍离开地图为止。	施术者的每等级黑暗系法术的技能够让僵尸拥有二十点的生命点数，但最大不会超过它本来的生命点数最大值。	施术者的每等级黑暗系法术的技能够让僵尸拥有三十点的生命点数，但最大不会超过它本来的生命点数最大值。	施术者的每等级黑暗系法术的技能够让僵尸拥有四十点的生命点数，但最大不会超过它本来的生命点数最大值。	施术者的每等级黑暗系法术的技能够让僵尸拥有五十点的生命点数，但最大不会超过它本来的生命点数最大值。	PM
