Item#	message text	Location	Item Name
710	“强力”的白色药剂可以在你需要的时候暂时增加你的力量。要混合出这种药剂，你必须要混合任三个的红色药材和任两个的蓝色药材。	Might Boost	Empty Message Scroll
711	“增智”的白色药剂可以在你需要的时候暂时增加你的智力。要混合出这种药剂，你必须要正确地混合任两个蓝色药材和任三个黄色药材。	Intellect Boost	Empty Message Scroll
712	“贵格”的白色药剂可以在你需要的时候暂时增加你的人格属性。要混合出这种药剂，你必须要正确地混合任三个蓝色药材和任两个黄色药材。	Personality Boost	Empty Message Scroll
713	“坚忍”的白色药剂可以在你需要的时候暂时增加你的耐力属性。要混合出这种药剂，你必须要正确地混合任两个红色药材和任三个蓝色药材。	Endurance Boost	Empty Message Scroll
714	“竞速”的白色药剂能够在你需要的时候暂时增加你的速度。要混合出这种药剂，你必须要正确地混合任三个红色药材和任两个黄色药材。	Speed Boost	Empty Message Scroll
715	“正鹄”的白色药剂可以在你需要的时候暂时增加你的准度。要混合出这种药剂，您必须要正确地混合任两个红色的药材和任三个黄色的药材。	Accuracy Boost	Empty Message Scroll
716	白色的“火焰药剂”，可以将任何的武器变成“烈　之”属性。要混合出这种药剂，您必须要正确地混合任两个红色药材和任一个蓝色药材以及任两个黄色药材。	Flaming Potion	Empty Message Scroll
717	白色的“寒霜药剂”可以将任何一种武器转变成“霜冻之”属性的武器。要混合出这种药剂，您必须要正确混合任两个红色药材和任两个蓝色药材和任一个黄色药材。	Freezing Potion	Empty Message Scroll
718	白色的“剧毒药剂”可以将任何武器转变成“剧毒之”属性的武器。要混合出这种药剂，您必须要正确地混合任一个红色的药材和任两个蓝色的药材以及任两个黄色的药材。	Noxious Potion	Empty Message Scroll
719	白色的“震撼药剂”可以将任何武器转变成“电球之”属性的武器。要混合出这种药剂，您必须要正确地混合任三个红色的药材和任一个蓝色的药材以及任一个黄色的药材。	Shocking Potion	Empty Message Scroll
720	白色的“快速药剂”可以将任何的普通武器转变成“迅捷之”属性的武器。要混合出这种药剂，你必须要正确地混合任一个红色药材和任三个蓝色药材和任一个黄色药材。	Swift Potion	Empty Message Scroll
721	“治疗麻痹”的白色药剂可以解除麻痹的状况。要混合出这种药剂来，你必须要正确的混合任一个红色药材和任一个蓝色药材和任一个黄色药材。	Cure Paralysis	Empty Message Scroll
722	“神圣恢复”的白色药剂可以解除所有的特殊状况，只有石化、死亡和形神俱灭不受影响。要混合出这种药剂，您必须要正确地混合任一个红色的药材和任一个蓝色的药材和任三个黄色的药材。	Divine Restoration	Empty Message Scroll
723	“神圣治疗”的白色药剂比治疗伤害的药剂威力还要强大。要混合这种药剂，您必须要正确地混合任三个红色药材和任三个黄色药材。	Divine Cure	Empty Message Scroll
724	“神圣力量”的白色药剂比魔法药剂的威力还要强大。要混合这个药剂，你必须要正确地混合任三个蓝色药材和任三个黄色药材。	Divine Power	Empty Message Scroll
725	“好运”的白色药剂可以在你需要的时候增加你的运气。要混合出这种药剂，您必须要正确地混合任三个的红色药材和任三个蓝色药材。	Luck Boost	Empty Message Scroll
726	“御火”的白色药剂可以暂时增加你对火焰的抵抗力。要混合这种药剂，你必须要正确地混合任两个红色的药材和任一个蓝色的药材和任三个黄色药材。	Fire Resistance	Empty Message Scroll
727	“御风”的白色药剂可以暂时增加你对于风系攻击的抵抗力。要混合出这种药剂，你必须要正确地混合任三个红色的药材和任两个蓝色的药材，以及任一个黄色的药材。	Air Resistance	Empty Message Scroll
728	“御水”的白色药剂可以暂时提供你对于水系攻击的抵抗力。要混合这种药剂，您必须要正确地混合任一个红色的药材和任三个蓝色药材和任两个黄色的药材。	Water Resistance	Empty Message Scroll
729	“御地”的白色药剂可以暂时增加你对于地系攻击的抵抗力。要混合这种药剂，你必须正确地混合任一个红色的药材和任一个蓝色的药材和任两个黄色的药材。	Earth Resistance	Empty Message Scroll
730	“御心”的白色药剂可以暂时提升你对于心系魔法的抵抗力。要混合出这种药剂，你必须要正确地混合任两个的红色药剂和任三个的蓝色药剂和任一个的黄色药剂。	Mind Resistance	Empty Message Scroll
731	“御体”的白色药剂可以暂时提升你对于体系魔法的抵抗力。要混合这种药剂，你必须要正确地混合任一个红色的药材和任两个蓝色的药材和任三个黄色的药材。	Body Resistance	Empty Message Scroll
732	"在下达德洛斯，证明持有此信盖有我印玺者，的确携带有霸杀煞之斧。请将这些勇敢的战士当做自己的家人，并且以一切可能的礼数款待他们。
达德洛斯
阿尔瓦商队
荒湮回廊牛头人斧头大师"		Scroll for Minotaur Promo
733	"亲爱的弟兄∶
我已经决定要出发去寻找可布的石棺，希望他自己能够提供我需要的答案。这趟旅程将会漫长而艰险，因为渡鸦海滨的居民、绞刑峡谷的狩猎龙人都不会热情地欢迎我们。在我前往荒湮回廊的途中，我必须要尽可能地寻找庇护之地。我一路上留下这些短简。如果我就此消失，也许你可以继续找到可布。
夏特蓝·凡提特斯
"		Vampire Promo Clue (6)
734	"亲爱的弟兄∶
正如同我所担心的一样，渡鸦海滨对我辈来说并不是个友善的地方。我被一群拿着火把的人群追杀出城外。这彷佛就像是我们饥饿发作的时候，祖先们用来吓阻我们不要靠近人类居住地方的故事一样。这个区域的猛狼倒是不太介意我的出现，也许他们可以认知我们有相似的灵魂。明天我将会试着前往绞刑峡谷，希望我在那边可以找到庇护之所。
夏特兰·凡提特斯"		Vampire Promo Clue (2)
735	"亲爱的弟兄∶
绞刑峡谷是个杀戮战场。杀龙的骑士和飞龙们每天彼此征战，根本不知道冲突何日才能够结束。至少我们已经和影旋山脉地区的死灵法师们达成了某种协议，可在此觅食。也许可布的确疯了，但至少我们不需要为了食物而战斗。但是，让其它的种族放弃自己的生命只为了喂饱我们，这是对的吗？明天我将会前往荒湮回廊。自从可布离开我们之后，我辈中还没有人曾经到过那个区域。我不知道我会找到什么东西。答案吗？还是可布本人？
夏特兰·凡提特斯"		Vampire Promo Clue (5)
736	"亲爱的弟兄∶
我在可布的墓穴中只找到了意料之外的悲剧。可布已经死亡了。也许它是因为再也没有牺牲他人而延续自己生命的意愿。蛇龙守卫在墓穴中四处乱窜，让进入这个墓穴成了极度困难的一件事。我并没有找到答案，而是找到了更多的问题。为什么可布宁愿让自己死去，也不要吸取其它人的生命？我辈中最伟大的生命，现在成了一团灰烬和骨头。我会把它的尸骸带回去给长老们，也许他们会有我需要的答案。
夏特兰·凡提特斯"		Vampire Promo Clue (7)
737	"亲爱的弟兄∶
我今天啜饮了一名年轻骑士的血。从我体验到那股嗜血狂热以来的第一次，在我吸取这名女子生命的时候，我感觉到了一些事情。我无法形容这样的感觉，只是觉得非常的不愉快。我的思绪开始游走，我开始思考为什么可布那么多年以前会离开我们。我们虽然有了永生不死的生命，但却必须牺牲其它人的性命。
今天北方来了一场恐怖的风暴。我看见龙牙山脉北方的树木被这样的风暴摧残。我从来没有看过这么大的风暴。我会继续往渡鸦海滨前进，希望回到我们的家。
夏特兰·凡提特斯"		Vampire Promo Clue (5)
738	"亲爱的弟兄∶
我今天抵达了渡鸦海滨附近。当我到达的时候，镇上似乎冒出一种奇怪的光茫，我可以在空气中感受到黑暗魔法的力量。在仔细思考过上次在这里所受到的招待之后，我决定往北走，前往阿尔瓦，然后往东走前往铁砂荒漠。从那边我将可以回到影旋山脉的故乡。当我今天晚上又攻击猎物的时候，我再度感觉到和上次攻击骑士一样的恐怖感。我依旧可以看见她眼中的恐惧。也许可布说的是对的？我们不应该以他人的生命换取自己生命的延续？
夏特兰·凡提特斯"		Vampire Promo Clue (2)
739	"我今天被烧伤了。阿尔瓦这里的掩蔽不但少，距离也远。太阳在我的脸上和手上留下了疤痕。如果我当初记得向长老们要龙葵护身符保护我就好了。那么我的旅程一定会更顺利的。
自从渡鸦海滨之后我就没有攻击任何猎物，因为我不想要再经历同样的恐惧。我知道此地的独眼巨人对我们并没有任何的敌意，因为我们曾经安排了一整队的阿尔瓦商队落入他们的掌握之中。我将会在他们的聚居地休息，然后回到家里去。
夏特兰"		Vampire Promo Clue (3)
740	"我已经完了。可布是正确的。我们不应该牺牲他人的性命来换取我们自己的苟活。我之前一直感觉到的情绪一定就是悔恨。可布一定也感到同样的后悔。我再也不会找寻猎物了，我会像是可布一样，就死在独眼巨人的聚居地中。我希望可布会被遗忘，尸骸可以被继续留在这里。我将会把它的尸骸藏好，因为我相信他决不愿意再度复活。在古老的传说中，提到了我们受到过诅咒。我现在相信我们是真的被诅咒了。一旦你感觉到悔恨之情，你就只会剩下一种欲望－－恳求原谅。对我来说，这一切都只是一场梦。
夏特兰"		Vampire Promo Clue (4)
741	"公会领袖费尔蒙∶
我送这封信给您，是通知您在匕伤群岛上发生的诡异事件。我的车队被困在此处，但这只是最枝微末节的麻烦。在我们抵达之后不久，一个巨大的火山就从附近的海域中升起。它所造成的大浪冲断了联络各岛和主大陆之间的桥梁。这里的居民日夜不停地受到火山喷发出来的高热岩石轰击。更糟糕的是，雷格那海盗也抓住这个机会突击劫掠。我只能说，这一切都是浑沌一片！
车队首领达德洛斯"		Dadeross' Letter to Fellmoon
742	"亲爱的韩特∶
近来发生的一些事情让我必须要请你配合和协助我。
特别是我必须要请你提供你的快船一段我目前不确定有多长的时间。喔，我想像得到这会对你的生意造成影响，那么，让我也对你作出一些友善的回应。我会保证你可爱的女儿伊拉贝尔的安全。我知道她目前在阿尔瓦的学院当学生。如果她的学习课程被意外打断了，岂不是很不好？我相信我们都同意这一点，所以请让我先感谢你的慷慨。
艾尔加·费尔蒙"		Blackmail Letter
743	"┅┅现在，我们终于已经准备好要赢取那觊觎已久的目标。那个该死的蜂巢就在我们营区的北边峡谷中，很快地，奖赏就会落入我们的手中。我相信我们不会向其他人一样的失败。这并不是因为他们无能，而是因为他们没有做好准备。
我们花了好几个月的时间准备，但现在终于已经拥有了进入蜂巢所必须拥有的魔法。我们花在收集卷轴上的金钱都会是值得的。一旦我们可以达成目标，钱将不再是问题┅┅
"		Journal Scrap
744	"时光金库座落在目前被称为渡鸦海滨的城市中，它是个传承自安柏莉王朝的诡异遗迹。安柏莉王朝是从342年～621年间统治贾丹姆大陆南方海岸的政治势力。最后一个安柏莉王朝的帝王－－梭尔三世（589年～633年）知道王国正处在崩溃的状况中，因此，他将皇家的徽记和财产封存在特别建造的时光库中，希望有一天能够有他的子嗣开启这个时光库，恢复王国旧日的荣光。
由于安柏莉王朝很明显地已经退居历史的幕后，梭尔的时光库变成许多寻宝者的目标。但这个由魔法封锁的金库至今依旧阻断了任何穿透的尝试。直到今天，梭尔的财宝依旧无人得见。    "		Hint for vault of time
745	"岩石传送门
这些怪异的装置看起来像是安装在地面上，由小石块所组成的正方形，每个角落还有不高的柱子。看来，这些传送门是神庙的建造者用来在各岛之间旅行所用的装置。很明显地其中牵扯到了魔法的使用，他们的能源是来自于富有魔法的蛋白石。我自己在神庙附近找到了一个传送门，我知道单牙找到了另外一个。每个传送门都需要专属的独特石块来启动。

废弃的神殿
我发现一些雕刻和记载，似乎表示西北方岛上的神殿和东北方的神殿在水底下有信道连结。如果真的是这样，这些建造神庙的人一定拥有非常先进的建筑技术。"		In frederick talimere's inventory
746	"艾瑞安·韩特，
我们会注意你是否遵守和索格之间的约定。任何违背他命令的行为，猛狼就会杀进你躲藏的地方，把你赶到海里去。
记住，你的意见一点都不重要，只要听话就好。把这份有关阿尔瓦商人的报告送给恐怖海盗史坦力，这样你的家人才会回到你身边。
索格"		Empty Message Scroll
747	"答案区

谜题，第五十六页∶1.十五苹鸭子！2.食人魔的祖母3.监狱
谜题，第五十七页∶1.蛋2.那苹鸡上下颠倒了3.蜂胶抹在饼干上
谜题，第五十八页∶1.食人魔的脚2.内部3.他们作了汤。
"		escaton riddle clue
748	"计画∶利用封锁门来抽干积水

拉杆顺序∶A, B, C, E, G, D, J, C, E, F, D, I, C, 最低的

重设∶ A

海人∶请小心！"		minotaur lair clue
749	"终于！在这么多年的失败之后，我们终于成功地试射了制霸炮弹。不只大炮没有爆炸，炮弹本身也制造了如预期中范围广大的破坏。现在，我们唯一的挑战是要找到一艘适合的船，装载这个目前安装在要塞外的实验用大炮。一旦我们完成了这个工作，我们将成为大海的霸主！只要这种大炮一开火，我们就可以击沈对方的一整个舰队！
"		regnan fleet cannonball clue
750	"这是无法避免的结果，我们已经失去了这座神殿。我们从来没想过，我们的创造物会反叛我们。我们也没想过他们可以如此轻易地消灭我们。在圣物看守者之中，只有我和我的助理存活下来。这份记载是留给未来想要收复这座神殿的真实之光的看守者。
我和助理已经将神圣的偶像安置好了。记住，是第六个板子，不是第十四个！上次我们搞错的时候，我们又有一名同志牺牲了。我只希望这个防御能够一直持续到你们前来为止。
您诚挚的
伊瓦丘凡斯·希欧布雷克，巢穴之主"		Old Scroll
751	Missing Scroll Text 739		Empty Message Scroll
752	Missing Scroll Text 739		Empty Message Scroll
753	Missing Scroll Text 739		Empty Message Scroll
754	Missing Scroll Text 739		Empty Message Scroll
755	Missing Scroll Text 739		Empty Message Scroll
756	Missing Scroll Text 739		Empty Message Scroll
757	Missing Scroll Text 739		Empty Message Scroll
758	Missing Scroll Text 739		Empty Message Scroll
759	Missing Scroll Text 739		Empty Message Scroll
760	Missing Scroll Text 739		Empty Message Scroll
761	Missing Scroll Text 739		Empty Message Scroll
762	Missing Scroll Text 739		Empty Message Scroll
763	Missing Scroll Text 739		Empty Message Scroll
764	Missing Scroll Text 739		Empty Message Scroll
765	Missing Scroll Text 739		Empty Message Scroll
766	Missing Scroll Text 739		Empty Message Scroll
767	Missing Scroll Text 739		Empty Message Scroll
768	Missing Scroll Text 739		Empty Message Scroll
769	Missing Scroll Text 739		Empty Message Scroll
770	Missing Scroll Text 739		Empty Message Scroll
771	Missing Scroll Text 739		Empty Message Scroll
772			
773			
774			
775			
776			
777			
778			
779			
780			Ritual of Dark Containment
781			
			
			
			
			
