Day of Week Profession Text															
#		Sunday topic	Sunday text	Monday topic	Monday text	Tuesday topic	Tuesday text	Wednesday topic	Wednesday text	Thursday topic	Thursday text	Friday topic	Friday text	Saturday topic	Saturday text
11	Expert Healer	疗伤圣法	作为肢体魔法中最高层次的魔法，疗伤圣法可以有效治愈整个队伍。一项威力强大的疗伤圣法胜于四项治疗小魔法。	炼金术基础	把罂粟花、灵芝草、草莓浆果和水混合在空瓶中可以制成简单的药剂。尽管药剂的疗效有限，但远强于那些原始的草药。	治疗选择	你不必掌握法力强大的治疗魔法。所有的城镇和城堡都有神庙，里面有医师给人看病。你也能自制疗伤的药剂，还可以找到拥有治疗魔法的物品。甚至一些魔法喷泉和神龛也能治愈你。	药剂	如果把一些简单药剂相混合，可以制成更复杂的药剂。这些药剂效力大于简单药剂，作用也有所不同。	急救奇术	这是低级的肢体魔法，但非常有效。如果你有足够的时间，不妨用它来疗伤。	炼金术	把一些成分简单的药剂相混合，可以制成效力更大的复杂药剂。但制药的过程非常危险，一旦有丝毫的失误就可能引起剧烈反应，甚至爆炸。	回春妙手	尽管该魔法威力不如其它的治疗魔法，但它属于灵魂魔法，更适合游侠修炼。有时一些肢体魔法比如急救奇术或疗伤圣法失效时也可使用该魔法来应急。
12	Master Healer	休息	一般来说你的生命值多于你的魔法值，所以用魔法可以尽快治愈伤病。这样你可以节省你的休息时间。	高级炼金术	让我来告诉你一些初级药剂的功能。红色药剂是治病用的，蓝色药剂是恢复魔法值的，黄色药剂可以提高七项状态指标。	自我教派	规模更大的自我教派建立在银湾镇。	高级制药术	简单药剂可以制成复杂药剂。橙色药剂提高铠甲等级，绿色药剂提高防御能力，紫色药剂可以解毒。	普渡众生	是光明魔法的最高峰。是你向伊拉求情向整个队伍施展该魔法挽救所有角色的生命。该魔法会使你的年纪增大，有时付出这个代价还是值得的。	高级炼金术	我只知道一种制造复杂药剂的程序。把一种抗毒药剂和一种解毒药剂相混合，然后在和一种保护药剂相混合，就可制成神圣治疗药剂。	分享生命	当你的队伍受到大范围魔法的攻击时使用该魔法可以使实力稍弱的角色逃得性命。它和疗伤圣法联用可在队伍濒临死地时侥幸逃生。
13	Teacher	经验	你等级越高，所需要的经验点数越多。但等级越高，你的兵器技能和魔法技能也越来越高。	技能	由于技能越高就越难得到进步，所以你不妨多学些技能，水平低也没关系，而不要急着把一两项技能练到很高的等级。	专家和大师	一旦有机会，你付些钱就可以成为你所修练的技能的专家或大师。达到专家和大师的级别，你的各项技能的威力就大大强于只有初级水平的新手。	学习魔法	每个人都有一本魔法经书。但因为能力不够，有时连最简单的魔法也无法学习。你能把得到的魔法记载到经书上，只要你拥有足够的力量，就可以使用上面的魔法。	训练中心	训练中心可以提高你的技能等级，但必须付出沉重的代价。就我个人而言，我推荐你去阿卜杜的廉价训练中心，那里的要价相当低。	盗贼和雇佣军行会	如果你要提高武功和魔法以外的辅助技能，可以去盗贼和雇佣军行会。有时你能在那里得到意外的收获。	导师	有些导师懒得教徒弟，而且讨厌别人打扰，所以就搬到了偏远地区隐居起来。为了找到他们，你必须历经千辛万苦，方能如愿。一般来说，专家的导师知道大师级导师住在什么地方。
14	Instructor	尼古拉	尼古拉王子像他父亲一样在童年就显示了超人的洞察力和创造力。但人们都不把他当一回事，他们注意的是他的年龄，而不是能力。	克里格斯	克里格斯城堡是魔法实验的中心，它已经被庞大的火山吞没了。肯定他们有一个实验出了岔子，引发了一场灾难。	对手	敢于面对迎面而来的凶猛怪兽需要非凡的勇气，而且要有一定实力。如果你的对手实力不堪一击，你的经验值就不会增长很多。如果对手实力太强，就会有生命危险。所以最好选择与自己的技能等级相称的对手，这样获益最多。	劳里达·弗丽斯	她是个诡计多端的女人。和她打交道千万要小心。她除了家财万贯，还是好几项技能的大师，而且她和北方几个僧侣教派都有联系。	神使	在自由天堂的神使是至高无上的导师。要拜见神使，你必须得到高级议会的一致同意。	任务	任务并不神秘，但它们能给你机会。有了机会，你才能去赢得大笔金币和高深的魔法。你一定要抓住眼前的机会，不让它与你失之交臂。	知名度	知名度是靠你不断增加的经验度而累计起来的。每当你完成任务，立下杀死怪兽的丰功伟绩，你就四海闻名了。
15	Arms Master	兵器	如果你付钱，我就告诉你怎样使用两三种兵器。小伙子，这样如果在战斗中你的一件兵器对敌人无能为力的话，就可以换种战术试试。你明白这对你有多大的好处。	战斗策略	战斗中有三点事项必须牢记：第一不要被敌人包围，第二集中优势兵力攻击敌人的最薄弱环节，第三要及时撤退，“留得青山在，不怕没柴烧。”	铠甲	你必须随时身着铠甲！你要学习使用铠甲的技能，以免在战斗中像个孕妇一样行动不便。	机动力	不要小看了一些小兵器。如果你的技能足够高的话，可以像大兵器一样一次出手攻击两次。	双手兵器	你可以左手使用长剑或匕首而不是手握盾牌。就是个初出茅庐的毛头小伙也应该懂得这样对你的好处有多大。	弓箭	最好使你队伍中每个人都装备有长弓，十字弓或其它远距离杀伤兵器。这样一旦怪兽靠近就可射箭，还可以对付空中的飞行怪兽。	锤棍之荣耀	我自己最喜欢的兵器是锤棍。用它攻击对手反弹速度快，可以迅速投入下一波进攻。而且锤棍技能达到巅峰状态，可以一击制敌，使对手昏迷不醒。
16	Weapons Master	奥斯里克·坦普	奥斯里克不仅是个勇士的大师级人物，他还是个英明的将军。我很高兴看到他并没有被恶魔们近来的猖狂攻势所吓倒，而且还在阻止反击。尽管形势对我们非常不利，但唯一有能力挑战恶魔的就是奥斯里克了。	魔法兵器	锻造精良的并且十分少见。但一件魔法兵器确实价值连城，它可以提高杀伤力，加快速度，有时还可施展附着其上的魔法。你的技能固然重要，但魔法兵器也能使你获益非浅。	上古兵器	有个云游四方的怪人宣称他知道关于古老兵器的使用方法。那些兵器似乎从奇迹时代起就从没见过。我们把他赶出了镇子，让他别在我们这儿胡言乱语。	精通	有些勇士喜欢专门练习一种兵器，这样他们的某样兵器的技能可以达到登峰造极的水平，但有些缺点。他们可能找不到称手的兵器，或者对手正好对这种兵器有较强的抵抗力。精通某样兵器固然很好，但必须和其它伙伴同行。	魔法	我知道勇士可以轻而易举的把一些魔法拙劣的魔法师打回老家。但魔法师的发展潜力极大，可以成为法力无边的大法师。魔法可以提高你的移动速度，增强打击能力并提高防御能力。只要能跟得上队伍的行动速度，他们就是最好的探险伙伴。	普遍精通	许多聪明的勇士都会使用几种兵器。通常以一种兵器为主项，其它的兵器也不偏废。这样在作战中就有很大的回旋余地。一旦一种兵器对怪兽不起作用，还可以换最有效的兵器。	棍棒	千万不要低估了棍棒的威力。许多人把它与魔法师联系在一起，其实并不确切。虽然手执棍棒你就无法拿盾牌，但如果棍术炉火纯青的话，它将是最佳的防守兵器，而且一旦击中敌人，可使对手昏迷不醒。它是一件攻防兼备的兵器。
17	Apprentice	心理攻击	如果你的攻击魔法对你的对手根本不起作用，不妨试试心理攻击魔法。它可以使对手僵立不动，从而有充足的时间把他们击倒。	元素魔法	如果你在一个极冷或极热的地方战斗，必须使用与环境截然相反的魔法。因为怪兽往往习惯于周围的环境，而对与之相似的魔法有免疫力。	力压千钧的奇迹	这是我最得意的魔法，对手越是强大，越是凶猛，威力就越大。它可以使敌人体重增加，从而破坏其内部器官。该魔法可以使对手的生命值减半。如果等级提高的话，杀伤力更大。	保护魔法	如果你拥有保护魔法，必须及时施展。该魔法能使你在巨龙喷出的烈火和魔法师发出的闪电霹雳中侥幸逃生。	旅行魔法	旅行魔法是最有效的魔法。它不仅能使你到达本来无法去的地方，还能把你带到恢复魔法或健康的喷泉，还可以在危险的地牢和城堡中及时脱身。	抗魔法	有些怪兽任何魔法对它们都不起作用。如果你遇到它们也不必害怕，用你的治疗魔法把队伍中的游侠和剑客恢复到最佳的身体状态，然后与之放手一搏。	黑暗之神	魔法的每个派系都有十一种，但暗黑魔法只有十种，失落的一种叫做黑暗之神。会该魔法的法师都已不在人世，该教派非常想把它找回来。如果有人能使该魔法重见天日，他们必定会重重报答的。
18	Mystic	加里克	加里克常在他的炼铁厂里想重新制造一些奇迹时代的上古兵器，但从来没有成功过。尽管如此，他还是积累了一些经验，用来点化兵器，召唤怪兽。	尸巫	有些巫师为了获取力量而逃避死亡，他们用生命来交换不死之身。真难想象为了力量他们竟会出卖自己的灵魂。尸巫法力无边，心狠手辣。和它们作战千万要小心。	特威伦	作为寂静时代以来最伟大的魔法研究师，他也不能抵挡岁月的流逝，躯体的苍老。我曾听说他在研究返老还童的魔法，但我想自然的力量是无法抗拒的。	阿加	阿加是法力强大的魔法师。他曾妄图创造威力无比的怪兽以统治整个恩洛斯，但没有得逞。他的手下不是太笨，就是太聪明了而不听他的话。	飞行神眼	这是阿加最佳创造。这些飞行怪兽智力超群，威力无穷。看着它们的眼睛你会昏昏欲睡。甚至有人说技术更高的眼睛有使人惊慌和疯狂的作用。	阿尔伯特·牛顿	阿尔伯特·牛顿是杰出的魔法研究者。但他的每一项研究都历时较长。他对每个巫师和他们的魔法特点都了如指掌。如果你要在魔法方面有所发展，一定要去求教他。	元素怪兽	它们是受魔法师的召唤来守护某个地区或物件的。这种怪兽是由四种基本元素（空气、泥土、烈火、流水）中的一种力量组成。它们精通各自的元素魔法，与它们作战千万要小心。
19	Spell Master	元素魔法教派	有一些元素教派，尽管他们的元素魔法精通程度不如那些专一的元素教派，但跟随他们学习可以拓宽你的元素魔法范围。	光明魔法	光明魔法和暗黑魔法相辅相成。每种光明魔法都是神赐的，尽管修练的困难很大，但一旦练成，天下无敌。	暗黑魔法	暗黑魔法和光明魔法相辅相成。许多人把它与邪恶联系在一起，其实并非如此。就像兵器一样，本身并无所谓邪恶还是正义，重要的是它派什么用场。	德里克丝水晶	考勒根研习死灵魔法时把德里克丝的水晶带到了他的豪宅中。我想水晶还在那里。	自我魔法教派	王国内有一些自我教派。他们掌握有心智魔法、灵魂魔法和肢体魔法。但是每项魔法的精通程度稍逊于专门的魔法教派。	魔法长棍	我听说有一种充满魔力的长棍，可以积蓄魔法力量，并且速度快若闪电。	阿基巴德	阿基巴德是罗兰德的兄弟。他生前是个精通各类魔法的法力无边的大魔法师。现在没人知道他被埋在何处，自从罗兰德登上王位，他就不知下落了。
20	Trader	金币	金钱是生命之源，有钱能使鬼推磨！它使你的桌上有丰盛的大餐，火堆里有充足的木料。金钱无所不能，没钱的日子最难熬，千万不要失去金钱，千万！	商人	商人可以提高客户的讨价还价水平。如果你和商人做买卖，务必要派谈判水平最高的角色。	银行	尽管恩洛斯的银行不给利息，但可以保护你的钱财以防遗失或被窃。你在踏上一段危险的征程前，最好把钱先存银行。	交际术	交际术能使你受到别人的喜爱。如果你和一个满怀敌意的人谈话，必须挑选一个交际术最高超的角色处理此事。	阿卜杜的廉价	不要被名字所迷惑，阿卜杜的廉价商店卖的可是质量上乘的商品，而且价格非常低廉。老实说，这可不是他付钱让我给他招揽生意，事实如此。	杂货铺	杂货铺能买各类东西，但价格却低得惊人。如果你急着要钱花，身边有只有杂货铺的话，不妨进去卖掉点东西。否则的话还是到专门的店铺把东西卖掉，这样不会损失太大。	价格	恩洛斯许多店铺的老板都是商场老手。你买卖物品，和他们打交道千万要十分小心，免得挨宰。
21	Merchant	投机	成为成功商人的最关键部分并非传授可得，必须在实践中不断体会。你要及时发现一个优质客户，然后和他成交一笔大买卖。比如你在镇子里淘到了便宜货，就可以在别的地方高价卖出，牟取暴利。	龙骑兵	一伙强盗号称龙骑兵如今在自由天堂和新索匹格之间的商路上打劫过往商旅。	金币	啊，商人是一个伟大的职业。金钱主宰了世界万物。经济学在城镇，在农场，在王国的各个角落无处不在的得到体现。国王对手下人的生命毫不顾惜，而对钱看得比他的命还重。而从商可以积累财富，而财富可以赋予人至高无上的地位。	阿卜杜	我知道谁是阿卜杜，他开的商店商品价格很低。我想他的商品肯定都是抢来的，不然价格不可能这么低。	阴影教派	在北方，贸易往往被一些寡头所垄断，即使敲诈勒索的行当也是如此。只有阴影教和盗贼教派才能在银湾镇和自由天堂如此为非作歹。	商店	每个商店的货色都各不相同。有些质量低劣，但有的地方的商品却物美价廉。你最好多转悠点店铺，找一些质量上乘的货色。但要记住“便宜没好货，好货不便宜。”	银行	身边放着大量现金可不安全。把钱存银行不失为明智的举措。尽管他们不会给你利息，但你不必担心被人抢去，这就不错了。
22	Scout	恶魔	最近我去过布莱克郡的西面，所见所闻令人发指。恶魔们猖獗横行，见人就杀。我真不明白为什么没有人出面惩治这些恶魔。	星湖	我曾经在星湖地区游历过一段时间，在湖中心的岛上发现一些塑像。它们制作精美，栩栩如生。真不知道是谁把它们放在这里的。	沙漠中的村民	在阿卜杜胜地的西面有个小村庄卖上好的魔法装备。天知道他们是从那里得到这些东西的，但知道那里有好东西卖就足够了。	甜水镇	我认为甜水镇已经被恶魔们夷为平地了。它在恩洛斯的最西北方，曾经是王国中最美丽的地方。很少有人能找到它的通路，你现在就不用去这个地方了。	幽灵沼泽	听我的话，千万不要在黑夜去幽灵沼泽，那里实在太危险了。自从阿基巴德在王位争夺战争中被击败后，死灵法师教派就退隐在这里。他们在这里可以自由的游荡，无人管束。	黑摩尔城堡	在这个地方死灵法师教派干了许多逆天而行的大罪孽。我的密探建议最好远离这个地方。	金字塔地牢	传说飞龙沙漠中央有一个金字塔，是航船的坟墓。我找遍整个沙漠只看到巨龙和巨人怪兽。但也许是我太早逃了出来，还没有完全走遍沙漠。那里可真是个可怕的地方。
23	Counselor	法律和监狱	和其它国家比较，恩洛斯是个法制相当宽松的国家。但是如果你罪孽深重，也只能在监狱里了此一生了。	艾恩法斯特法律	王国的法律很简单，不得谋杀别人，不得威胁别人，不得贿赂别人。乞讨也会降低你的声誉。记住，声誉是最宝贵的。	强盗	为了防备遭到抢劫，精明的旅行者往往把钱存在银行里以免在路上被人洗劫一空。	盗贼教派	王国里有两个盗贼教派。一个是比较正规的，他们驻扎在王国中的一些主要城镇。另一个是阴影教，他们比正规的盗贼教派更加心狠手辣。如果国王有空的话，真该把他们斩尽杀绝。	判处坐牢	如果你得到神庙的原谅，就是罪孽深重也可以免受牢狱之苦。但你未得到神庙原谅而冒冒失失的到了卫兵那里，就得坐一年以上的牢。	城镇议会	城镇议会总为人们在当地寻找合适的工作。如果你缺钱花，不妨去那里要求工作，也许你会走运。	绑架	我不喜欢干暗杀、绑架这种事。但最近似乎这种罪行频频发生，像瘟疫一样风行全国。
24	Barrister	谈判	交际术是谈判不可缺少的技巧。而高明的谈判可以省去许多不必要的麻烦。要成功，就必须看人说话，随机应变。	爵士	恩洛斯由国王和五个议会成员统治。这六个人掌管恩洛斯的法律，条令和王国的一切事物。	地下世界	尽管很难找到，但地下确实存在着有自己生活方式的一群人。他们都是盗贼和罪犯，他们有严密的组织和联络暗号，传递消息非常迅速。你不能完全信任他们，但也不妨利用他们为你服务。	议会成员	由于众爵士无暇处理王国的琐事，他们派出了各自的代表在自由天堂的议会全权处理各类事物。六个代表以各自爵士的名义制订王国的法律，处理王国大事。	怪兽	无论你多么巧舌如簧，怪兽尽是些蛮不讲理的家伙。你要尽快认清它们的本来面目，及时除掉它们。	声誉	你的声誉将影响你的受欢迎程度。如果你的声誉不佳，没有人会信任你的。这样你只能去找盗贼之类的人交朋友了，你甘心这样吗？为了提高你的声誉，你要乐于助人，遵纪守法。	怪兽	有些怪兽还是讲道理的。你必须开动脑筋，巧舌如簧，把他们完全感化，而不是刀兵相见。这样对双方都有好处。
25	Tinker	找到一分钱	找到一分钱，把它拾起来，这一天你将有好运。	锁	如果有人有箱子或其它装物的容器，为了不让别人打开它，他们会设置陷阱而不是锁住它。众人皆知一个百折不挠的盗贼可以打开任何锁，但又有谁能保证在打开箱子后能躲开陷阱的暗算呢？	密门	一生中我制造了许多密门，它们几乎可以乱真，和一堵不起眼的破墙没什么两样。如果你有魔力神眼魔法，就可以通过地图分辨出哪里是密门，哪里是破墙。	魔法盔甲	钢甲是最坚硬的铠甲。有一副带有传奇色彩的钢甲，名叫宙斯。它赐予穿着者无穷的力量，但对个性方面没有很大的帮助。	出乎意料	许多人轻视我们这些补锅匠，因为我们四处流浪，干的活处处和教派作对。但你会喜欢我们的。	扫烟囱的人	和扫烟囱的人多套近乎，好运常伴着他们。	强盗	如果他们不认为你是个“优秀市民”的话，强盗和土匪们会接纳你的。但你必须和他们一起打家劫舍。
26	Locksmith	箱子	你所能发现的大多数金银财宝都锁在箱子或盒子里。某种程度上也保护了你的财产。	魔法锁	有些锁经过魔法的点化，无论你是多么水平高超的锁匠，没有魔法钥匙，根本无法打开。	盗贼	嗨，我可是个遵纪守法的锁匠，不是什么梁上君子。我是负责保护人们的财产，而不是偷窃他人财物的。	吉拉德	我听说盗贼偷了佐尔丹·菲尔普一件价值连城的宝物。如果他谨慎保存他的财产，并雇我为他效劳，就不会发生这种事情了。	危险	由于近来麻烦不断，我们生意不错。人们发现如今世道不太平，得小心保管自己的财物。而把钱财放在我这里可以给他们一丝安全感。	盗贼行会	如今有个新崛起的贼盗行会名叫阴影教，他们和已有的盗贼行会分庭抗礼。	陷阱	在开锁的时候千万要小心。很多人信不过锁，所以还在门或箱子上设置了陷阱，用以惊吓甚至处死胆敢偷窃的盗贼。
